,Title,Brand,Model,Year,Price,Condition,Type,Engine_Size,Fuel_Type,Transmission,Mileage,Color,Additional
0,ВАЗ (Lada) Lada 2121,ВАЗ,(Lada) Lada 2121,2020,5950000,Б/у,внедорожник,1.7,бензин,КПП механика,29000,белый,"литые диски, тонировка, ветровики,..."
3,Genesis G70,Genesis,G70,2021,23500000,Б/у,седан,3.3,бензин,КПП автомат,16500,белый,металлик
4,Hyundai Santa Fe,Hyundai,Santa Fe,2021,14790152,Б/у,кроссовер,2.5,бензин,КПП автомат,107000,белый,"литые диски, ксенон, кожа, аудиосист..."
7,Ravon Nexia R3,Ravon,Nexia R3,2020,5200000,Б/у,седан,1.5,бензин,КПП автомат,118000,серый,"комбинированный, климат-контроль, Машина..."
11,Toyota Camry,Toyota,Camry,2020,18000000,Б/у,седан,2.5,бензин,КПП автомат,39000,белый,"металлик, кожа, кондиционер, Вся родная и..."
12,Volkswagen Golf,Volkswagen,Golf,1998,2550000,Б/у,хэтчбек,1.8,бензин,КПП автомат,241524,белый,"металлик, литые диски, тонировка, спой..."
14,ВАЗ (Lada) Priora 2170,ВАЗ,(Lada) Priora 2170,2015,3950000,Б/у,седан,1.6,бензин,КПП механика,174547,серебристый,"металлик, литые диски, тонировка,..."
16,Toyota Highlander,Toyota,Highlander,2017,19500000,Б/у,кроссовер,3.5,бензин,КПП автомат,117000,черный,"металлик, литые диски, тонировка, л..."
17,Kia Optima,Kia,Optima,2019,9100000,Б/у,седан,2.4,бензин,КПП автомат,93000,белый,"велюр, климат-контроль, Киа Оптима 2019 Г..."
19,Hyundai Elantra,Hyundai,Elantra,2023,8700000,Б/у,седан,1.5,бензин,КПП вариатор,16000,белый,"литые диски, тонировка, линзованная опти..."
20,Mercedes-Benz E 230,Mercedes-Benz,E 230,1996,2500000,Б/у,седан,2.3,бензин,КПП автомат,400000,синий,"литые диски, тонировка, люк, панорамная..."
24,ВАЗ (Lada) Vesta,ВАЗ,(Lada) Vesta,2019,5350000,Б/у,седан,1.6,бензин,КПП механика,135000,серый,"металлик, литые диски, тонировка, дневн..."
25,Toyota Camry,Toyota,Camry,2007,7000000,Б/у,седан,2.4,бензин,КПП автомат,346000,металлик,"велюр, кондиционер, Осы номерге жазын..."
26,Mercedes-Benz E 350,Mercedes-Benz,E 350,2013,12500000,Б/у,седан,3.5,бензин,КПП автомат,110000,литые диски,"тонировка, панорамная крыша, хруст..."
27,Chevrolet Aveo,Chevrolet,Aveo,2014,4800000,Б/у,седан,1.6,бензин,КПП автомат,197000,коричневый,"металлик, литые диски, тонировка, в..."
30,Toyota Corolla,Toyota,Corolla,2007,5200000,Б/у,седан,1.6,бензин,КПП автомат,180000,белый,"РОДНАЯ КРАСКА 60% Не битая, ЖИВАЯ! Все К..."
31,Toyota Camry,Toyota,Camry,2007,4000000,Б/у,седан,3.5,бензин,КПП автомат,413035,золотистый,"литые диски, тонировка, кожа, аудио..."
32,Mercedes-Benz E 230,Mercedes-Benz,E 230,1995,750000,Б/у,седан,2.3,бензин,КПП механика,500000,серебристый,"кожа, кондиционер, Машина на ходу..."
33,ВАЗ (Lada) Granta 2190,ВАЗ,(Lada) Granta 2190,2019,3449000,Б/у,седан,1.6,бензин,КПП механика,88350,черный,"тонировка, дневные ходовые огни, коррек..."
34,Hyundai Accent,Hyundai,Accent,2021,8500000,Б/у,седан,1.6,бензин,КПП автомат,62000,серый,"металлик, тонировка, ветровики, биксенон,..."
36,Infiniti QX80,Infiniti,QX80,2014,19000000,Б/у,внедорожник,5.6,бензин,КПП автомат,191000,бордовый,"металлик, тонировка, люк, ветро..."
37,Toyota Camry,Toyota,Camry,2007,8600000,Б/у,седан,2.4,бензин,КПП автомат,190000,серый,"металлик, литые диски, тонировка, ветров..."
39,Toyota Camry,Toyota,Camry,2016,12000000,Б/у,седан,2.5,бензин,КПП автомат,180000,серый,"литые диски, тонировка, багажник, ксенон..."
40,Chevrolet Cobalt,Chevrolet,Cobalt,2024,7900000,Б/у,седан,1.5,бензин,КПП автомат,5000,белый,"металлик, литые диски, тонировка, ветровик..."
42,Kia Cerato,Kia,Cerato,2014,6500000,Б/у,седан,1.6,бензин,КПП автомат,150000,серебристый,"литые диски, тонировка, багажник,..."
43,Toyota Camry,Toyota,Camry,2015,8200000,Б/у,седан,2.5,бензин,КПП автомат,96000,черный,"металлик, кожа, климат-контроль, XLE Юри..."
44,BMW 318,BMW,318,1995,2500000,Б/у,седан,1.8,бензин,КПП механика,290000,синий,"литые диски, тонировка, люк, спойлер, о..."
45,Toyota Land Cruiser,Toyota,Land Cruiser,2017,36000000,Б/у,внедорожник,4.6,бензин,КПП автомат,141000,белый,TLC 200.EXCLUSIVE.Европеец. Люкс....
